bathrooms,bedrooms,city,construction_type,construction_year,deposit,description,energylabel,features,furnishedstate,id,lat,livingsurface,lon,parking,photos,price,propertytype,province,rooms,servicecosts,status,street,streetnr,thumbnails,totalvolume,url,zipcode
0,0,Amsterdam,,,0,"
Te huur ruime garagebox vlakbij de Zuid-as en Gelderlandplein (beide op 3 minuten wandel-afstand).

Garagebox is recent fris geschilderd.

Ook geschikt voor opslag of het parkeren van een SUV of bestelauto .
Huurprijs v.a. 225 p/m, inclusief service-kosten. Zakelijk huren/uitreiking BTW-factuur mogelijk.",,,,9372610a9b8e36cb3d4da08c8fdb923529d5c1,52.3316552,0,4.871205700000019,,"https://media.goesenroos.nl/tr:n-2160w/wonen/9372610a9b8e36cb3d4da08c8fdb923529d5c1/110682175.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372610a9b8e36cb3d4da08c8fdb923529d5c1/110682177.jpg",225.0,,,0,,,Valkhof 93,,"https://media.goesenroos.nl/tr:n-360w/wonen/9372610a9b8e36cb3d4da08c8fdb923529d5c1/110682175.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372610a9b8e36cb3d4da08c8fdb923529d5c1/110682177.jpg",,https://www.keizerskroonmakelaars.nl/valkhof-93-amsterdam-9372610a9b8e36cb3d4da08c8fdb923529d5c1,1082VE
0,1,Amsterdam,,,0,"
Beautiful characteristic UNFURNISHED apartment of 85m2 with high ceilings, a large kitchen, a bedroom, a bathroom, 2 balconies and an amazing view over the canal. This apartment is located on the first floor!

Layout:
Through the common entrance you enter this charming apartment on the first floor. The spacious living room with a high ceiling is located at the front of the house. The apartment is very light, has 2 windows with wide views and a French balcony. The living room has an open kitchen which can be fully equipped with various appliances. The whole apartment has a beautiful wooden herringbone floor, a fireplace and the authentic details give lots of character.

The bedroom is located at the rear, very quiet, and gives access to a spacious balcony. The bathroom has a shower, a sink and a toilet. Located next to the bedroom, a large storage room is equipped as a laundry room with both a washing machine and dryer.

Details:
- Rental price € 2.200,- excluding utilities
- Deposit 2 months' rent
- Unfurnished
- Available since 1st of December 2021
- Separate storage / laundry room
- Smoking and pets are not allowed

Location
The apartment is situated in a quiet part but the lively and popular Utrechtsestraat with a large variety of charming shops, cafes and restaurants are around the corner and also ""The Hermitage"" and ""Theater Carré"".
Public transport towards Amsterdam Central Station and Amsterdam South WTC within walking distance.",,"aan water, in centrum, in woonwijk cv ketel frans balkon ",,93726104b7c2a5eaa748ba8f11059759a1c2ff,52.35899332,0,4.90246434,,"https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699254.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699258.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699256.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699260.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699262.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699264.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699252.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699268.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699269.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699271.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699273.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699275.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699277.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699279.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699280.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699282.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699284.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699286.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699288.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699290.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699292.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699294.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699299.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699302.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699306.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699310.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699314.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699317.jpg",0,bovenwoning,,0,,,Sarphatikade 20-1,,"https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699254.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699258.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699256.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699260.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699262.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699264.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699252.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699268.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699269.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699271.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699273.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699275.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699277.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699279.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699280.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699282.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699284.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699286.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699288.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699290.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699292.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699294.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699299.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699302.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699306.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699310.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699314.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/93726104b7c2a5eaa748ba8f11059759a1c2ff/115699317.jpg",,https://www.keizerskroonmakelaars.nl/sarphatikade-20-1-amsterdam-93726104b7c2a5eaa748ba8f11059759a1c2ff,1017WV
1,2,Amsterdam,,,0,"
Bright and unfurnished upper house of 100m2 with a wide terrace which is located on a nice and cozy street surrounded by a wide range of stores and restaurants. The apartment has two spacious bedrooms, a modern bathroom, a luxurious kitchen and living room. The apartment is located in the heart of Amsterdam, city center near The Jordaan, Noordermarkt and Central Station.

Layout:
You enter the apartment on the second floor through a common staircase. Here is a coat rack where you can hang your coats. Through the internal staircase you arrive on the third floor which gives you access to the two bedrooms and bathroom. The large bedroom at the rear has three large windows and built-in wardrobes. The second bedroom also has a built-in closet and is located at the front of the property. This room could also be used as a guest room or study. The modern bathroom has a bathtub, walk-in shower, toilet and a sink with mirror. On the landing there is a separate room for the washing machine and dryer.

The staircase takes you to the fourth and also the top floor with many windows all around and a sliding door to the terrace at the rear. The open and very luxurious kitchen is equipped with a dishwasher, refrigerator, freezer, induction stove and an oven.

The landlord leaves some furniture in the apartment. In the living room these are the custom made wooden table, green sofa with small chair, TV/bookcase and the television. On the outside terrace the two chairs and flower box will remain.

The entire apartment has a wooden floor and double glazing.

Details:
- Rental price: €2.500,- excl. utilities and local taxes
- 2 months deposit
- 100m2
- Partly furnished: dining room table, green couch with chair, TV/bookcase, television, terrace chairs and flower box
- 2 bedrooms
- Balcony facing South
- Separate storage
- Maximum 24 months, model B
- Mandatory cleaning 2 times a month, excluding the rental price

Location:
The apartment is located at the buzzing Haarlemmerdijk with plenty shops, coffee shops around the corner. There are also several caterers, hair salons and various supermarkets. It’s a famous neighbourhood and also near by the Jordaan and the Noordermarkt. The Amsterdam Central Train Station is about a few minutes by bike and within walking distance you are at the Haarlemmerplein. The public transport in this area is very good, there are different tram and bus lines. The high way is easily accessible.",,"aan drukke weg, in centrum cv ketel mechanische ventilatie, tv kabel ",,9372619e64e08e50b34d41a72204b053f74513,52.38363765,0,4.88521555,,"https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093798.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093815.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093800.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093801.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093802.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093803.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093804.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093806.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093807.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116132824.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093808.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093811.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093810.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093812.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093805.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133055.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133056.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133057.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133058.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133059.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133060.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093822.jpg,https://media.goesenroos.nl/tr:n-2160w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093823.jpg",2500.0,bovenwoning,,0,,,Haarlemmerdijk 139B,,"https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093798.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093815.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093800.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093801.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093802.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093803.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093804.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093806.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093807.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116132824.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093808.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093811.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093810.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093812.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093805.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133055.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133056.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133057.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133058.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133059.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116133060.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093822.jpg,https://media.goesenroos.nl/tr:n-360w/wonen/9372619e64e08e50b34d41a72204b053f74513/116093823.jpg",,https://www.keizerskroonmakelaars.nl/haarlemmerdijk-139b-amsterdam-9372619e64e08e50b34d41a72204b053f74513,1013KG
2,3,Amsterdam,,,0,"
Beautiful renovated unfurnished apartment of 150m2 with three bedrooms, two bathrooms, a modern kitchen with balcony, a laundry room and a spacious living room. The apartment on the third floor is located in a beautiful and quiet neighbourhood the “Rivierenbuurt”.
Layout:
Through the common entrance, you will enter the apartment on the third floor. The hallway gives access to all the rooms. At the front, you have the living room with a beautiful wooden floor and equipped with many windows. This ensures a lot of light in the room. The separate modern living kitchen with a balcony, facing West, is provided with a large fridge, freezer, dishwasher and an oven. Next to the kitchen you have a laundry room/pantry with a washing machine. There is also a separate toilet.
With the wooden staircase you enter the first floor with two bedrooms and two bathrooms. The master bedroom has a built-in wardrobe and ensuite a modern bathroom with a toilet, a sink and a walk-in shower. At the front the second bedroom or home office. The bathroom in the hallway is also provided with a walk-in shower, toilet and a sink.
The second floor can be used as a spacious double bedroom or chill area.
Details:
-	Rental price: €3.500,- excluding utilities and local taxes
-	Deposit 2 months rent
-	Unfurnished
-	150 M2
-	3 bedrooms
-	Mandatory cleaning twice a month, excluding the rental price
-	Recently renovated
-	Spacious apartment
Location:
